City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,awjilah,29.1081,21.2869,31.16,33,0,5.36,LY,1690661665
222,ust-nera,64.5667,143.2,11.52,90,99,2.62,RU,1690661665
223,mahina,-17.5065,-149.489,27.87,65,20,7.72,PF,1690661418
224,namtsy,62.7161,129.6658,12.78,76,3,1.92,RU,1690661665
225,santiago de cao,-7.9589,-79.2392,24.07,69,47,4.63,PE,1690661666
226,fale old settlement,-9.3852,-171.2468,28.07,75,70,7.3,TK,1690661666
227,albert,50.0009,2.651,18.29,58,0,4.12,FR,1690661666
228,susuman,62.7833,148.1667,11.62,65,94,0.74,RU,1690661666
229,belmopan,17.25,-88.7667,26.21,98,100,2.1,BZ,1690661667
230,atafu village,-8.5421,-172.5159,27.85,76,100,5.73,TK,1690661667
231,vorgashor,67.5833,63.95,12.76,86,12,1.17,RU,1690661667
232,tacuarembo,-31.7333,-55.9833,14.3,59,11,2.83,UY,1690661546
233,saraj,42.0,21.3278,23.75,44,6,2.13,MK,1690661668
234,rio grande,-32.035,-52.0986,14.06,73,100,2.55,BR,1690661668
235,daru,-9.0763,143.2092,24.7,85,98,6.4,PG,1690661418
236,bodo,67.28,14.405,13.86,88,20,1.54,NO,1690661669
237,porbandar,21.6422,69.6093,27.31,85,75,9.15,IN,1690661425
238,tadmur,34.5608,38.2805,29.35,30,0,6.1,SY,1690661669
239,broome,42.2506,-75.833,23.21,93,100,8.75,US,1690661669
240,cabugao,17.7931,120.4578,26.61,95,100,3.29,PH,1690661669
241,tazovsky,67.4667,78.7,11.94,99,100,3.44,RU,1690661670
242,tchintabaraden,15.8969,5.7985,27.71,60,74,3.33,NE,1690661670
243,wenchang,30.904,118.4887,23.84,96,100,2.27,CN,1690661670
244,keflavik,64.0049,-22.5624,13.24,76,75,3.09,IS,1690661670
245,kilifi,-3.6305,39.8499,23.58,86,7,6.0,KE,1690661585
246,tindouf,27.6711,-8.1474,40.25,11,0,5.14,DZ,1690661671
247,port blair,11.6667,92.75,27.76,85,100,10.24,IN,1690661671
248,peniche,39.3558,-9.3811,21.27,87,4,6.35,PT,1690661671
249,nuku'alofa,-21.1333,-175.2,18.19,77,20,1.54,TO,1690661671
250,beichengqu,40.4394,113.1536,19.83,86,99,1.6,CN,1690661672
251,howrah,22.5892,88.3103,29.0,94,40,1.54,IN,1690661672
252,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,100,75,2.0,RU,1690661672
253,hudson,40.7168,-74.0663,33.92,55,0,6.69,US,1690661407
254,dzhetygara,52.1908,61.2006,20.34,67,0,3.03,KZ,1690661673
255,chistyye bory,58.3647,41.6278,14.83,98,100,2.34,RU,1690661673
256,port lincoln,-34.7333,135.8667,13.65,86,5,7.04,AU,1690661673
257,bubaque,11.2833,-15.8333,25.81,90,100,6.27,GW,1690661673
258,jeddah,21.5169,39.2192,34.92,21,0,1.03,SA,1690661673
259,treasure island,27.7692,-82.769,33.92,70,40,2.57,US,1690661674
260,huilong,31.8111,121.655,27.74,89,98,8.86,CN,1690661674
261,chulakkurgan,43.765,69.1814,25.26,25,0,1.99,KZ,1690661674
262,almenara,-16.1836,-40.6944,26.56,50,100,2.76,BR,1690661674
263,taltal,-25.4,-70.4833,18.76,67,24,1.92,CL,1690661675
264,cobram,-35.9167,145.65,7.04,91,0,2.23,AU,1690661675
265,matoury,4.8483,-52.3317,29.98,70,40,5.66,GF,1690661675
266,sarankhola,22.3082,89.7897,27.33,93,20,2.51,BD,1690661675
267,levuka,50.1834,-105.4011,22.9,30,19,1.98,CA,1690661675
268,sydney mines,46.2367,-60.2177,25.7,71,75,6.69,CA,1690661676
269,puerto baquerizo moreno,-0.9,-89.6,24.3,82,89,5.06,EC,1690661676
270,nar'yan-mar,67.6713,53.087,18.55,77,68,5.0,RU,1690661676
271,brandon,27.9378,-82.2859,34.49,74,0,2.57,US,1690661677
272,amga,60.8953,131.9608,12.79,75,6,0.84,RU,1690661677
273,yurgamysh,55.3714,64.4656,17.53,71,0,2.61,RU,1690661677
274,preobrazheniye,42.9019,133.9064,20.77,97,100,3.01,RU,1690661677
275,puquio,-14.7,-74.1333,17.22,30,30,4.4,PE,1690661677
276,port saint john's,-31.6229,29.5448,18.35,67,100,3.94,ZA,1690661678
277,bargaal,11.2864,51.0773,29.37,57,18,11.69,SO,1690661678
278,kingston,17.997,-76.7936,34.58,58,88,1.34,JM,1690661479
279,vila do maio,15.1333,-23.2167,27.44,74,96,4.61,CV,1690661679
280,oranjemund,-28.55,16.4333,11.29,76,6,2.66,NA,1690661679
281,ati,13.2154,18.3353,34.27,35,98,3.66,TD,1690661679
282,beyneu,45.3167,55.2,29.73,41,6,7.1,KZ,1690661679
